Data Size,Key Size,,,
10000000,100,,,
,,,,
,Sequential,,Binary,
Keys,index,Time,index,Time
16175,45458,0.000066,4937742,0.000001
17755,16256,0.000016,5418394,0.000001
6712,49697,0.000051,2048643,0.000002
32687,24572,0.000025,9975586,0.000001
5267,19885,0.00002,1607358,0.000001
29122,8207,0.000008,8887023,0
917,4262,0.000004,280453,0.000001
6952,53451,0.000055,2121580,0
20917,9695,0.00001,6384581,0.000001
18673,60553,0.000073,5698852,0.000001
6793,43802,0.00006,2073362,0
10251,32345,0.000046,3128355,0.000001
16405,3359,0.000005,5007628,0.000001
8187,2502,0.000003,2499083,0
2860,89777,0.000144,873716,0.000001
24605,46380,0.000071,7509765,0
14381,3069,0.000005,4390257,0
7170,64599,0.000095,2188414,0
6763,5140,0.000008,2064207,0
6056,75613,0.000119,1848142,0.000001
5111,13698,0.00002,1560362,0.000001
27303,20170,0.00003,8331907,0.000001
19629,80,0,5990904,0.000001
22918,100545,0.000153,6995543,0.000001
10928,82891,0.000122,3335264,0
24262,25225,0.000037,7405089,0.000001
24503,67056,0.000079,7478941,0.000001
2427,27310,0.000022,741575,0.000001
14812,5651,0.000005,4521788,0.000001
17761,35553,0.000029,5420226,0
7116,44250,0.000036,2171934,0.000001
200,17270,0.000014,61338,0.000001
24458,13228,0.000011,7464903,0
1753,22418,0.000018,535581,0.000001
16409,33308,0.000027,5008849,0
22780,38175,0.000031,6953125,0
2521,61222,0.00005,770262,0
26724,15685,0.000013,8155516,0
3665,12190,0.00001,1119077,0.000001
22798,208,0,6958617,0
32699,15988,0.000013,9979248,0
443,50675,0.000041,135496,0
14741,26707,0.000022,4500119,0
14505,140104,0.000131,4428098,0
26361,117999,0.000096,8045043,0.000001
15123,43751,0.000036,4616697,0
15510,23321,0.000019,4734494,0.000001
11719,12107,0.00001,3576352,0.000001
27511,21719,0.000018,8395689,0
26447,50607,0.000041,8071288,0
23293,50216,0.000041,7109680,0.000001
30849,15243,0.000012,9413756,0.000001
27578,7403,0.000006,8416136,0
20084,3670,0.000003,6130064,0.000001
21003,278,0,6410826,0
24869,80515,0.000066,7590331,0.000001
20135,1943,0.000002,6145628,0
15453,146933,0.000123,4717100,0
31868,94511,0.000077,9724425,0
23690,31981,0.000026,7230833,0.000001
26253,1908,0.000002,8012388,0
26544,55997,0.000046,8100585,0
28082,950,0.000001,8569945,0.000001
19104,3429,0.000003,5830382,0.000001
1382,7832,0.000006,422361,0
17680,49152,0.00004,5395507,0
18447,33295,0.000027,5629576,0
843,57100,0.000047,258176,0.000001
9818,4494,0.000004,2996518,0.000001
6804,56901,0.000046,2076718,0
21155,10905,0.000009,6457518,0
9586,77365,0.000063,2925413,0
20613,23702,0.00002,6291503,0.000001
26488,655,0.000001,8083495,0
4615,32281,0.000026,1408995,0
23635,6444,0.000005,7214048,0.000001
5882,44396,0.000036,1795042,0
29715,18054,0.000015,9068602,0.000001
26760,40205,0.000033,8166197,0
3865,12156,0.00001,1180418,0
23048,60311,0.000049,7035216,0
7689,157229,0.000132,2347105,0
392,43622,0.000036,119932,0
11952,18604,0.000015,3647764,0.000001
11708,16912,0.000014,3572996,0
13506,10292,0.000008,4122922,0.000001
3106,9919,0.000008,948484,0
5592,60164,0.000049,1706235,0
2470,44154,0.000037,754697,0
31259,15148,0.000012,9538878,0.000001
2317,2910,0.000002,708006,0
12152,12964,0.000011,3708799,0
9696,15576,0.000013,2958983,0
7003,21372,0.000017,2137449,0
12227,171831,0.000146,3731687,0
22325,107948,0.000088,6814269,0.000001
10573,1681,0.000001,3226621,0
13928,69950,0.000057,4251707,0
12002,15168,0.000012,3662718,0
10308,17778,0.000015,3145750,0
,,0.00003536,,0.00000044
